,target,ids,date,flag,user,text,tokens
773821,0,2306248682,Tue Jun 23 22:01:34 PDT 2009,NO_QUERY,laylu21,@brittney127 wat it do lil mama ..u styll sick ,"['brittnei', 'wat', 'lil_mama', 'styll', 'sick']"
1152681,4,1978745851,Sun May 31 00:19:38 PDT 2009,NO_QUERY,DMB_,@abigaill yeah i heard at west palm last summer ,"['abigail', 'yeah_heard', 'west_palm', 'summer']"
383356,0,2053179872,Sat Jun 06 03:35:14 PDT 2009,NO_QUERY,MollyPayne,sitting home alone with nothing to do ,['sit_home']
736581,0,2265041252,Sun Jun 21 05:38:08 PDT 2009,NO_QUERY,bawdz,"Webber doin okay, but seems nothing on Vettel atm ","['webber', 'doin', 'okai', 'vettel', 'atm']"
1453923,4,2063278364,Sun Jun 07 02:01:32 PDT 2009,NO_QUERY,xxxSupermodel,@thomaslawler yes ,"['thomaslawl', 'ye']"
839168,4,1559324420,Sun Apr 19 10:50:35 PDT 2009,NO_QUERY,laurook119,@aslanenlisted you are horrible! Makes me question my love for an insensitive Dork like you. Hehe! ,"['aslanenlist', 'horribl', 'question', 'love', 'insensit', 'dork', 'like', 'hehe']"
1005513,4,1880521606,Fri May 22 01:32:30 PDT 2009,NO_QUERY,mjulok,Had a great time at my uncle's and aunt's summer house yesterday. It's wonderful to visit your parents at times ,"['great_time', 'uncl', 'aunt', 'summer', 'hous', 'yesterdai', 'wonder', 'visit_parent', 'time']"
1247727,4,1995614920,Mon Jun 01 13:46:25 PDT 2009,NO_QUERY,sarahstanley,@LittleRedPillow thanks Alex! ,"['littleredpillow', 'thank', 'alex']"
409970,0,2059765602,Sat Jun 06 17:35:33 PDT 2009,NO_QUERY,ultimateuphoria,"i am such a bitch! screwed yesterday's paper. most importantly, the end part of yesterday! stupid ahhh. bye off to work ","['bitch', 'screw', 'yesterdai', 'paper', 'importantli', 'end', 'yesterdai', 'stupid', 'ahhh', 'bye', 'work']"
1309286,4,2013018650,Tue Jun 02 21:44:56 PDT 2009,NO_QUERY,saaritias,to feliz. a Cat Power tÃ¡ vindo ,"['feliz', 'cat', 'power', 'tã¡', 'vindo']"
510989,0,2189787115,Tue Jun 16 00:54:33 PDT 2009,NO_QUERY,keir,@Rude they work (i presume you're talking about prefs in snow leopard) but no prefs = cant get rid of the dock icon ,"['rude', 'work', 'presum', 'talk', 'pref', 'snow_leopard', 'pref', 'rid', 'dock', 'icon']"
43666,0,1676606284,Fri May 01 22:33:57 PDT 2009,NO_QUERY,BananaAnna2008,"@meganmcmo I hate when that happens.  But hey, now you have time to yourself to watch a movie or something. ","['meganmcmo', 'hate_happen', 'hei', 'time', 'watch_movi']"
626705,0,2230681793,Thu Jun 18 17:27:25 PDT 2009,NO_QUERY,carolluwong,@daysdifference yeah yesterday was my sweet 16th but i had to spend it studying for a math final!  ,"['daysdiffer', 'yeah', 'yesterdai', 'sweet', 'spend', 'studi_math', 'final']"
476595,0,2177924650,Mon Jun 15 06:55:31 PDT 2009,NO_QUERY,Jessieleeann,AT my house with courtney and CHoda!!!!!! Work aT 3 ,"['hous', 'courtnei', 'choda', 'work']"
51050,0,1678783877,Sat May 02 07:42:44 PDT 2009,NO_QUERY,paprikapapaya,Nooo!  I have a sore throat ,"['nooo', 'sore_throat']"
488543,0,2182648023,Mon Jun 15 13:27:02 PDT 2009,NO_QUERY,jUNiTT,@cameronrawson Im unable to login to the FTP it says password authentication failed  Im probs doing sumthing wrong but if not needs fixin,"['cameronrawson', 'unabl', 'login', 'ftp', 'sai', 'password', 'authent', 'fail', 'prob', 'sumth', 'wrong', 'need', 'fixin']"
201394,0,1971884804,Sat May 30 08:06:21 PDT 2009,NO_QUERY,Kh4i,"Bought the wrong battery, can't drift tonight  http://yfrog.com/14rxzej","['bought', 'wrong', 'batteri', 'drift', 'tonight', 'yfrog', 'rxzej']"
758346,0,2295706560,Tue Jun 23 08:16:20 PDT 2009,NO_QUERY,Rah_ri,"Gratuation was cute. Lots of kids. Funny dresses? Nice smiles. Went fast, they all seem so grown up  ...Rushed but made it to work on time","['gratuat', 'cute', 'lot', 'kid', 'funni', 'dress', 'nice', 'smile', 'went_fast', 'grown', 'rush', 'work', 'time']"
1264025,4,1999158832,Mon Jun 01 19:44:32 PDT 2009,NO_QUERY,MangoSecret143,Lol.  yey in home,"['lol', 'yei', 'home']"
452397,0,2070009132,Sun Jun 07 16:56:18 PDT 2009,NO_QUERY,__mandy__,im in the car driving to my uncles to catch up in my last day of Melbourne ,"['car_drive', 'uncl', 'catch', 'dai', 'melbourn']"
1321554,4,2014703916,Wed Jun 03 02:24:32 PDT 2009,NO_QUERY,OhhiTsHim,wanting to move to Cali for a year...  hmmm ... ?,"['want', 'cali', 'year', 'hmmm']"
1362068,4,2049244504,Fri Jun 05 16:32:44 PDT 2009,NO_QUERY,neilcoogan,"Is in bed, got and early day tomoro,off to est london to snatch a car back from a customer ","['bed', 'got', 'earli', 'dai', 'tomoro', 'est', 'london', 'snatch', 'car', 'custom']"
1478150,4,2066427195,Sun Jun 07 10:30:02 PDT 2009,NO_QUERY,tinalouiseUK,@markthomasinfo  Oooh that sounds exciting... what you up to now?? ,"['markthomasinfo', 'oooh_sound', 'excit']"
506228,0,2188595356,Mon Jun 15 22:11:18 PDT 2009,NO_QUERY,DFBMBE,team meeting this morning .. deep joy! feeling a bit tired due to finishing late last night  swiper seems ok though amazingly ..,"['team', 'meet', 'morn', 'deep', 'joi', 'feel', 'tire', 'finish', 'late_night', 'swiper', 'amazingli']"
1529195,4,2177519909,Mon Jun 15 06:15:01 PDT 2009,NO_QUERY,DaniBlake,Good Morning!! ,['good_morn']
854766,4,1573442765,Tue Apr 21 01:11:30 PDT 2009,NO_QUERY,regierivera,I'm the newest member of Work at Home Bloggers Social Networks. thanks for the invite @EzyBlogger ,"['newest', 'member', 'work', 'home', 'blogger', 'social_network', 'thank_invit', 'ezyblogg']"
143504,0,1881742640,Fri May 22 05:27:08 PDT 2009,NO_QUERY,abcastil,Is tired from traffic ,"['tire', 'traffic']"
676291,0,2248355885,Fri Jun 19 20:29:42 PDT 2009,NO_QUERY,gameism,@ClickNothing Aw man that means that SC:CT isn't your new secret project   I take it Creative Ds at Ubi work on one game at a time?,"['clicknoth', 'man', 'mean', 'isn', 'new', 'secret', 'project', 'creativ', 'ubi', 'work', 'game', 'time']"
276082,0,1990953830,Mon Jun 01 06:06:18 PDT 2009,NO_QUERY,All_About_Giana,Grrrr! I just puked for no apparently reason! Soo not cute! ,"['grrrr', 'puke', 'appar_reason', 'soo_cute']"
616848,0,2226820133,Thu Jun 18 12:25:40 PDT 2009,NO_QUERY,Scriblit,@mr_craig Loved the Victorians Sketch. No OllieCollie or Paterson 'should have been Dr Who' Joseph any more tho.  ,"['craig', 'love', 'victorian', 'sketch', 'olliecolli', 'paterson', 'joseph', 'tho']"
168072,0,1962006691,Fri May 29 10:22:41 PDT 2009,NO_QUERY,taylahhh,Starving. And Alyssa's mom would bring her subway. ,"['starv', 'alyssa', 'mom', 'bring', 'subwai']"
1493698,4,2069550134,Sun Jun 07 16:05:00 PDT 2009,NO_QUERY,briannnaa,cynthia's birthdayyy party tonight! fiestaaaa theme ,"['cynthia', 'birthdayyi', 'parti_tonight', 'fiestaaaa', 'theme']"
58987,0,1686029695,Sun May 03 03:22:53 PDT 2009,NO_QUERY,Captiv8dVisions,"got a mouth ulcer thats really starting to get on my nerves now, it hurts ","['got', 'mouth_ulcer', 'start', 'nerv', 'hurt']"
263420,0,1986532537,Sun May 31 18:58:03 PDT 2009,NO_QUERY,annaseames,hand hurts  ,['hand_hurt']
715621,0,2259473496,Sat Jun 20 17:38:32 PDT 2009,NO_QUERY,spacemodulator,"@LouisS I love Toronto &amp; Sci Center, miss McLaughlins Planetarium  now closed. Did you go into the ROM? It's great.","['louiss', 'love', 'toronto', 'amp', 'sci', 'center', 'miss', 'mclaughlin', 'planetarium', 'close', 'rom', 'great']"
377879,0,2051984579,Fri Jun 05 23:19:38 PDT 2009,NO_QUERY,zizzazz,"@do2w I would totally be there, but I'm in AZ right now  Hope you guys have a great show!!!","['dow', 'total', 'right', 'hope', 'gui', 'great']"
1353186,4,2046661444,Fri Jun 05 12:30:31 PDT 2009,NO_QUERY,kaseystever,finally the weekend is here! going downtown tonight right after work ,"['final', 'weekend', 'downtown', 'tonight', 'right', 'work']"
1475554,4,2065923554,Sun Jun 07 09:33:15 PDT 2009,NO_QUERY,emilieff,"Together with the &quot;gang&quot; Tuesday evening, looking forward to see them all again, been a long time ","['quot', 'gang', 'quot', 'tuesdai', 'look_forward', 'long_time']"
1024205,4,1883200146,Fri May 22 08:10:10 PDT 2009,NO_QUERY,soccerlyds,@jordanknight Go and shake that booty! Tell your bro and Danny I said hello! ,"['jordanknight', 'shake', 'booti', 'tell', 'bro', 'danni', 'said_hello']"
849606,4,1565164124,Mon Apr 20 06:04:13 PDT 2009,NO_QUERY,Nina96,@britneyspears  my favourite song of yours is &quot;Circus&quot; ,"['britneyspear', 'favourit_song', 'quot', 'circu', 'quot']"
1240880,4,1993880286,Mon Jun 01 11:04:25 PDT 2009,NO_QUERY,bexmith,@marieiris chai is yummy; that's what I drink!  spiced black tea... yummy!  ,"['marieiri', 'chai', 'yummi', 'drink', 'spice', 'black_tea', 'yummi']"
829,0,1468015006,Mon Apr 06 23:16:04 PDT 2009,NO_QUERY,TaraEn,@heidimontag why do you put up with him!!!!!  You should listen to your mom ,"['heidimontag', 'listen', 'mom']"
