,target,ids,date,flag,user,text
666377,0,2245261639,Fri Jun 19 15:53:06 PDT 2009,NO_QUERY,haaaaayxtaytay,@jessemccartney i miss you. 
1363496,4,2049536338,Fri Jun 05 17:03:12 PDT 2009,NO_QUERY,nastarius,@UndressJess yup i got it cool    thank you
1133715,4,1976215631,Sat May 30 16:50:24 PDT 2009,NO_QUERY,ShaksprGal,@danamhuff Reading it right now for my thesis. Looks like she makes some VERY interesting parallels and delves into presentism. Read it! 
1288101,4,2002444132,Tue Jun 02 04:13:55 PDT 2009,NO_QUERY,ElizabethLovatt,wooooooooooo @threadless sale have just bought 8 new tshirst :$ oops but come on $5-10 each that's a bargain even with shipping 
1152910,4,1978767452,Sun May 31 00:24:00 PDT 2009,NO_QUERY,girlNboy_lover,"well, it was excactly like i though it would be, drive home the following morn, i thought i was a dream, quite proud of my bravery "
843016,4,1563794416,Mon Apr 20 00:17:50 PDT 2009,NO_QUERY,xxamandaa,@mileycyrus this is silly but i had a dance tryout on friday &amp; i find out today if i made it could you wish me luck &amp; pray for me please 
1488395,4,2068478272,Sun Jun 07 14:08:56 PDT 2009,NO_QUERY,PeterPleser,good night everybody  sweet dreams
1291627,4,2002915803,Tue Jun 02 05:28:13 PDT 2009,NO_QUERY,riiaa,@djdnice good morning to you 
508393,0,2189153821,Mon Jun 15 23:21:57 PDT 2009,NO_QUERY,cindytakeover,christmas lights just died.  now my room is all dark and gloomy.
1316112,4,2014114183,Wed Jun 03 00:30:10 PDT 2009,NO_QUERY,aditya,@singpolymatest Yep. Twitter users are thankful. 
223290,0,1977177011,Sat May 30 20:17:57 PDT 2009,NO_QUERY,alexalsmith,http://img20.imageshack.us/img20/52/img00172q.jpg I fell at the grocery store and it hurt. I yelled OH FUCK way too loud 
675341,0,2248061182,Fri Jun 19 20:02:29 PDT 2009,NO_QUERY,ShelbsIstheShiz,:/ no beach tomorrow like planned... i have to do someone's hair for a wedding  blahh.
1107637,4,1971618417,Sat May 30 07:30:55 PDT 2009,NO_QUERY,lovecoffe,"i always believe, that goodbye doesn't always mean forever "
1127199,4,1975153068,Sat May 30 14:33:27 PDT 2009,NO_QUERY,leighannirvine,@lollipop26 aw it looks fine! thought u meant disaster! well done 
1331295,4,2015971052,Wed Jun 03 05:54:47 PDT 2009,NO_QUERY,lazoug,"I started watching the trailer one more time and I thought to myself that I was crazy, so I stopped it ... "
744290,0,2267095001,Sun Jun 21 09:37:00 PDT 2009,NO_QUERY,RayYo,@fauxchet sooo sad I missed you! Dumb work 
119616,0,1828072924,Sun May 17 12:01:59 PDT 2009,NO_QUERY,XxXJulie_CXxX,Should probably revise maths but so not in the mood. No plans for tonight 
1189632,4,1983571049,Sun May 31 13:24:47 PDT 2009,NO_QUERY,Yuri_P_Graf,"@mzsullivan oh no,damn trck ball, mine just stopped a few days ago, now its works. The machine(minds of their own).But I am the Matrix. "
450340,0,2069472334,Sun Jun 07 15:56:32 PDT 2009,NO_QUERY,stimi,@meganlynshafer no today is just a shitty day and no sun = 
497920,0,2186037717,Mon Jun 15 18:15:59 PDT 2009,NO_QUERY,TuSolecita,take a nap i'm sick 
472425,0,2176839321,Mon Jun 15 04:52:35 PDT 2009,NO_QUERY,Melita75,@wendy_uk thanks Wendy...and yes I am  
1559969,4,2186225254,Mon Jun 15 18:32:03 PDT 2009,NO_QUERY,Virgotex,@GrrrlRomeo Just rewatched Serenity this weekend 
131196,0,1835475680,Mon May 18 06:04:39 PDT 2009,NO_QUERY,BrokenGrandma,@novelle360 I mean-it's permanent in hair that gets hit w/dye. Roots grow after you've dyed. I'm sure U know ths &amp; I sound lk an asshole 
1469846,4,2064954868,Sun Jun 07 07:33:54 PDT 2009,NO_QUERY,kopykat7913,I'm tired! My buddy Chiken slept over and I did go to sleep til 1. Had so much fun with friends yesterday! 
28570,0,1559709574,Sun Apr 19 11:51:01 PDT 2009,NO_QUERY,trudietess,@TeamFRSH I'm so jealous. All I have are updates on my phone. 
112272,0,1825392106,Sun May 17 05:31:49 PDT 2009,NO_QUERY,khattal,@sawsoony Yeahh 
187253,0,1968604513,Fri May 29 21:47:49 PDT 2009,NO_QUERY,celinebratanata,It's hot in Bali. Stuck in traffic  on the way to lilo
266022,0,1988914777,Sun May 31 23:45:25 PDT 2009,NO_QUERY,appachoo,Account hacked once again..... 
184220,0,1967627981,Fri May 29 19:55:46 PDT 2009,NO_QUERY,FlimsyMango,Birdman!!!!!!!! Come on Denver! Don't let it go down like this 
1191708,4,1983950265,Sun May 31 14:08:59 PDT 2009,NO_QUERY,AmandaATOMIXX,"RAWR. i  havnt tweeted in a while. by the way, i hate you "
237003,0,1980111349,Sun May 31 05:43:30 PDT 2009,NO_QUERY,stevieg69,@Kenzielee_  the office on a sunday 
948947,4,1823598587,Sat May 16 22:24:56 PDT 2009,NO_QUERY,laurennhartman,@MelRy217 GOOD LUCK TOMORROW ON MONDAY!!  you and tye looked so cute in the pictures from the maxim party! 
944865,4,1795754660,Thu May 14 08:18:50 PDT 2009,NO_QUERY,Cynnergies,"@jimmywhite09 Good - London afternoon, cloudy but who cares "
409457,0,2059655829,Sat Jun 06 17:22:13 PDT 2009,NO_QUERY,sbhs65,"@all2brite Hate to tell you but, it only gets worse as you get older... "
1051533,4,1961183655,Fri May 29 09:06:38 PDT 2009,NO_QUERY,SenorPerez,making brownies 
888618,4,1687340500,Sun May 03 08:26:10 PDT 2009,NO_QUERY,QDjacky,so glad twitter also works in germany :] follow me 
1515107,4,2175563494,Mon Jun 15 01:20:36 PDT 2009,NO_QUERY,letell,Fuck fuck fuck fuck. i need to get out of here NOW!!!!! my gf is killing me 
276295,0,1991003107,Mon Jun 01 06:12:25 PDT 2009,NO_QUERY,mikedao,@christawatson Welcome to the club.  
1398561,4,2054113657,Sat Jun 06 06:35:29 PDT 2009,NO_QUERY,schildress1,"is struggling, trying to get out of the house... "
1253131,4,1996841527,Mon Jun 01 15:47:18 PDT 2009,NO_QUERY,vahata,@Itsjustme_Nicki I hope she is getting better. 
963451,4,1827439966,Sun May 17 10:42:52 PDT 2009,NO_QUERY,Pazozo,"@girl_from_oz England, so I can go see it, or Poland, but they weren't even in it, song-wise, none of them were really that memorable "
1281941,4,2001790277,Tue Jun 02 02:04:59 PDT 2009,NO_QUERY,rosietypewriter,"@cleversimon s'niiiice! always find taking photos of clouds impossibly hard, did you take the bk pic? "
1222534,4,1990302346,Mon Jun 01 04:29:26 PDT 2009,NO_QUERY,littlemissmessy,"@coldplay excellent!! *lol* The video and Chris's spontaneous sing-a-song was brilliant! keep those videos coming, please!! "
434746,0,2065265863,Sun Jun 07 08:14:22 PDT 2009,NO_QUERY,lauralou991,ear ache need a humsey hug 
287021,0,1994080187,Mon Jun 01 11:22:56 PDT 2009,NO_QUERY,jilljohnson07,"...Okay, I'm ready to go home now. I don't wanna be here for 3 more hours. "
50468,0,1678510145,Sat May 02 06:56:18 PDT 2009,NO_QUERY,k8louise,after prom part-ees were really nifty. i miss my stranger friend though  socute.
